phase,method,optimizerSeed,actualRunIndex,scenarioId,scenarioHash,config,seed,horizon,ticks,completedOrders,unfinishedOrders,throughput,meanDelay,maxDelay,waitingRatio,stationUtilization,stalledTicks,runtimeMs,planningMs,kernelVersion,codeVersion,stateHash,status,error
training,random,7,11,crossroads,05e532c1,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""congestion"",""congestionWeight"":3.64911044947803,""planningWindow"":11,""replanInterval"":2}",11,240,240,6,8,0.025,113.16666666666667,140,0,"{""assembly-1"":0.25833333333333336,""press-1"":0.3333333333333333}",0,181.994917,178.665368999998,1.0.0,8b7262b,059d6e30,completed,
training,random,7,12,hotspot,021d8edc,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""congestion"",""congestionWeight"":3.64911044947803,""planningWindow"":11,""replanInterval"":2}",11,240,240,12,4,0.05,46.083333333333336,59,0.0010416666666666667,"{""assembly-1"":0.4708333333333333,""assembly-2"":0,""press-1"":0.55,""press-2"":0.041666666666666664}",0,169.30024999999978,164.72846100000152,1.0.0,8b7262b,e3faa045,completed,
training,random,7,13,open-floor,c24f248c,"{""assignment"":""earliest"",""priority"":""waiting"",""routing"":""distance"",""congestionWeight"":0,""planningWindow"":12,""replanInterval"":5}",11,240,240,8,1,0.03333333333333333,50.375,71,0.10972222222222222,"{""assembly-1"":0.375,""press-1"":0.4791666666666667}",0,71.08504200000016,68.21625399999948,1.0.0,8b7262b,35c572b6,completed,
training,random,7,14,crossroads,05e532c1,"{""assignment"":""earliest"",""priority"":""waiting"",""routing"":""distance"",""congestionWeight"":0,""planningWindow"":12,""replanInterval"":5}",11,240,240,5,9,0.020833333333333332,114.4,133,0.04895833333333333,"{""assembly-1"":0.2791666666666667,""press-1"":0.3958333333333333}",0,125.6614169999998,122.55991199999971,1.0.0,8b7262b,249d2c7a,completed,
training,random,7,15,hotspot,021d8edc,"{""assignment"":""earliest"",""priority"":""waiting"",""routing"":""distance"",""congestionWeight"":0,""planningWindow"":12,""replanInterval"":5}",11,240,240,8,8,0.03333333333333333,111,133,0.08958333333333333,"{""assembly-1"":0.225,""assembly-2"":0.15,""press-1"":0.3333333333333333,""press-2"":0.25}",0,104.09083399999963,99.61446099999966,1.0.0,8b7262b,92976774,completed,
training,random,7,16,open-floor,c24f248c,"{""assignment"":""nearest"",""priority"":""waiting"",""routing"":""distance"",""congestionWeight"":0,""planningWindow"":9,""replanInterval"":2}",11,240,240,8,1,0.03333333333333333,32.5,57,0.034722222222222224,"{""assembly-1"":0.3375,""press-1"":0.4375}",0,67.54212499999994,65.34024800000134,1.0.0,8b7262b,7d63a3de,completed,
training,random,7,17,crossroads,05e532c1,"{""assignment"":""nearest"",""priority"":""waiting"",""routing"":""distance"",""congestionWeight"":0,""planningWindow"":9,""replanInterval"":2}",11,240,240,6,8,0.025,106.33333333333333,129,0.007291666666666667,"{""assembly-1"":0.2625,""press-1"":0.35833333333333334}",0,126.20004199999994,123.69425299999739,1.0.0,8b7262b,63b915ca,completed,
training,random,7,18,hotspot,021d8edc,"{""assignment"":""nearest"",""priority"":""waiting"",""routing"":""distance"",""congestionWeight"":0,""planningWindow"":9,""replanInterval"":2}",11,240,240,13,3,0.05416666666666667,44.30769230769231,201,0.07083333333333333,"{""assembly-1"":0.525,""assembly-2"":0,""press-1"":0.625,""press-2"":0.041666666666666664}",0,111.06658299999981,107.37150499999962,1.0.0,8b7262b,0d4e9bdb,completed,
training,ga,7,1,open-floor,c24f248c,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""distance"",""congestionWeight"":0,""planningWindow"":12,""replanInterval"":3}",11,240,240,8,1,0.03333333333333333,32,54,0.04722222222222222,"{""assembly-1"":0.3375,""press-1"":0.42916666666666664}",0,89.89883400000008,87.74482400000261,1.0.0,8b7262b,c07dbc4f,completed,
training,ga,7,2,crossroads,05e532c1,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""distance"",""congestionWeight"":0,""planningWindow"":12,""replanInterval"":3}",11,240,240,6,8,0.025,111.66666666666667,127,0.015625,"{""assembly-1"":0.2375,""press-1"":0.3333333333333333}",0,175.17170799999985,172.58041499999626,1.0.0,8b7262b,dffabf2c,completed,
training,ga,7,3,hotspot,021d8edc,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""distance"",""congestionWeight"":0,""planningWindow"":12,""replanInterval"":3}",11,240,240,13,3,0.05416666666666667,46.38461538461539,205,0.07395833333333333,"{""assembly-1"":0.55,""assembly-2"":0,""press-1"":0.5833333333333334,""press-2"":0.08333333333333333}",0,145.49466699999994,141.80140699999856,1.0.0,8b7262b,6d599528,completed,
training,ga,7,4,open-floor,c24f248c,"{""assignment"":""earliest"",""priority"":""waiting"",""routing"":""congestion"",""congestionWeight"":1.5,""planningWindow"":16,""replanInterval"":2}",11,240,240,9,0,0.0375,42.44444444444444,77,0,"{""assembly-1"":0.3958333333333333,""press-1"":0.5125}",0,168.91716700000006,166.22900499999878,1.0.0,8b7262b,346d43bb,completed,
training,ga,7,5,crossroads,05e532c1,"{""assignment"":""earliest"",""priority"":""waiting"",""routing"":""congestion"",""congestionWeight"":1.5,""planningWindow"":16,""replanInterval"":2}",11,240,240,6,8,0.025,117.16666666666667,145,0.0020833333333333333,"{""assembly-1"":0.2833333333333333,""press-1"":0.3958333333333333}",0,344.187625,340.67737000000125,1.0.0,8b7262b,6036b2fe,completed,
training,ga,7,6,hotspot,021d8edc,"{""assignment"":""earliest"",""priority"":""waiting"",""routing"":""congestion"",""congestionWeight"":1.5,""planningWindow"":16,""replanInterval"":2}",11,240,240,9,7,0.0375,108.11111111111111,199,0.0010416666666666667,"{""assembly-1"":0.2625,""assembly-2"":0.15,""press-1"":0.3333333333333333,""press-2"":0.25}",0,292.49974999999995,288.22955199999524,1.0.0,8b7262b,05be6dc4,completed,
training,ga,7,7,open-floor,c24f248c,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""congestion"",""congestionWeight"":3.495143528562039,""planningWindow"":19,""replanInterval"":4}",11,240,240,8,1,0.03333333333333333,41.125,60,0.04583333333333333,"{""assembly-1"":0.3375,""press-1"":0.4166666666666667}",0,183.59779199999957,181.4679659999847,1.0.0,8b7262b,d3261b47,completed,
training,ga,7,8,crossroads,05e532c1,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""congestion"",""congestionWeight"":3.495143528562039,""planningWindow"":19,""replanInterval"":4}",11,240,240,6,8,0.025,104.5,120,0.025,"{""assembly-1"":0.2708333333333333,""press-1"":0.3541666666666667}",0,314.41949999999997,311.845494999995,1.0.0,8b7262b,af8f0962,completed,
training,ga,7,9,hotspot,021d8edc,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""congestion"",""congestionWeight"":3.495143528562039,""planningWindow"":19,""replanInterval"":4}",11,240,240,11,5,0.04583333333333333,44.09090909090909,64,0.058333333333333334,"{""assembly-1"":0.475,""assembly-2"":0,""press-1"":0.5625,""press-2"":0.020833333333333332}",0,350.18383300000005,346.24478900000395,1.0.0,8b7262b,4e4da3a4,completed,
training,ga,7,10,open-floor,c24f248c,"{""assignment"":""earliest"",""priority"":""waiting"",""routing"":""congestion"",""congestionWeight"":1.7031846040600573,""planningWindow"":10,""replanInterval"":3}",11,240,240,8,1,0.03333333333333333,49,68,0.013888888888888888,"{""assembly-1"":0.375,""press-1"":0.4791666666666667}",0,61.7782500000003,58.55612199999632,1.0.0,8b7262b,a7abc1a1,completed,
training,ga,7,11,crossroads,05e532c1,"{""assignment"":""earliest"",""priority"":""waiting"",""routing"":""congestion"",""congestionWeight"":1.7031846040600573,""planningWindow"":10,""replanInterval"":3}",11,240,240,6,8,0.025,116,133,0.011458333333333333,"{""assembly-1"":0.2708333333333333,""press-1"":0.375}",0,118.36041699999987,114.84937000000355,1.0.0,8b7262b,0bd437b6,completed,
training,ga,7,12,hotspot,021d8edc,"{""assignment"":""earliest"",""priority"":""waiting"",""routing"":""congestion"",""congestionWeight"":1.7031846040600573,""planningWindow"":10,""replanInterval"":3}",11,240,240,7,9,0.029166666666666667,113.28571428571429,130,0.011458333333333333,"{""assembly-1"":0.225,""assembly-2"":0.15,""press-1"":0.3541666666666667,""press-2"":0.23333333333333334}",0,88.10975000000053,83.58719600001314,1.0.0,8b7262b,25e720dc,completed,
training,ga,7,13,open-floor,c24f248c,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""congestion"",""congestionWeight"":0.29274110128934483,""planningWindow"":19,""replanInterval"":4}",11,240,240,8,1,0.03333333333333333,43.5,62,0.04861111111111111,"{""assembly-1"":0.3375,""press-1"":0.4}",0,197.77387499999986,195.00092599999607,1.0.0,8b7262b,8daf00b5,completed,
training,ga,7,14,crossroads,05e532c1,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""congestion"",""congestionWeight"":0.29274110128934483,""planningWindow"":19,""replanInterval"":4}",11,240,240,5,9,0.020833333333333332,113.4,138,0.017708333333333333,"{""assembly-1"":0.22916666666666666,""press-1"":0.325}",0,323.7772500000001,320.7319119999984,1.0.0,8b7262b,a40d3f1b,completed,
training,ga,7,15,hotspot,021d8edc,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""congestion"",""congestionWeight"":0.29274110128934483,""planningWindow"":19,""replanInterval"":4}",11,240,240,11,5,0.04583333333333333,49.09090909090909,58,0.06458333333333334,"{""assembly-1"":0.45,""assembly-2"":0,""press-1"":0.5458333333333333,""press-2"":0.020833333333333332}",0,351.07504099999915,346.9714589999985,1.0.0,8b7262b,a041a524,completed,
training,ga,7,16,open-floor,c24f248c,"{""assignment"":""earliest"",""priority"":""waiting"",""routing"":""congestion"",""congestionWeight"":1.7241802352145774,""planningWindow"":10,""replanInterval"":4}",11,240,240,9,0,0.0375,37.77777777777778,66,0.06388888888888888,"{""assembly-1"":0.375,""press-1"":0.4875}",0,52.84458300000006,50.43408100000579,1.0.0,8b7262b,ece375cf,completed,
training,ga,7,17,crossroads,05e532c1,"{""assignment"":""earliest"",""priority"":""waiting"",""routing"":""congestion"",""congestionWeight"":1.7241802352145774,""planningWindow"":10,""replanInterval"":4}",11,240,240,6,8,0.025,117.33333333333333,136,0.007291666666666667,"{""assembly-1"":0.2708333333333333,""press-1"":0.3958333333333333}",0,96.57074999999986,93.64545000001726,1.0.0,8b7262b,67d06264,completed,
training,ga,7,18,hotspot,021d8edc,"{""assignment"":""earliest"",""priority"":""waiting"",""routing"":""congestion"",""congestionWeight"":1.7241802352145774,""planningWindow"":10,""replanInterval"":4}",11,240,240,9,7,0.0375,110.77777777777777,172,0.041666666666666664,"{""assembly-1"":0.2625,""assembly-2"":0.15,""press-1"":0.3375,""press-2"":0.22916666666666666}",0,84.48029099999985,80.62904400000025,1.0.0,8b7262b,2fdf3a40,completed,
heldout,frozen-selection,,1,heldout-offset,7de282e7,"{""assignment"":""nearest"",""priority"":""waiting"",""routing"":""distance"",""congestionWeight"":0,""planningWindow"":9,""replanInterval"":2}",101,240,240,6,3,0.025,68.66666666666667,78,0.011111111111111112,"{""assembly-1"":0.2625,""press-1"":0.3333333333333333}",0,74.24562500000047,72.24995600000057,1.0.0,8b7262b,542567d2,completed,
